year,year_code,country,country_code,gdp_current,agriculture,exports,final_exp,gdp_growth,gdp_per_capita,gov_exp,gni_growth_capita,gni_growth,gross_capital_formation,gross_fixed_capital_formation,Households and NPISHs Final consumption expenditure (annual % growth) [NE.CON.PRVT.KD.ZG],Households and NPISHs Final consumption expenditure per capita growth (annual %) [NE.CON.PRVT.PC.KD.ZG],imports,industry,manufacturing,services
1976,YR1976,United States,USA,1873412000000,,4.366799917,4.325392683,5.388139287,4.391462867,0.001311537702,5.518492647,4.52058345,14.97177644,8.032113966,5.57343338,4.575004597,19.55353264,,,
1977,YR1977,Bermuda,BMU,447000000,,,,5.897435896,5.500816286,,,,,,,,,,,
1977,YR1977,Canada,CAN,211612157029,,6.41522597,3.120913435,,,3.775611058,,,0.3548119698,2.433875867,2.779150968,1.58338132,-0.3648079453,,,
1977,YR1977,United States,USA,2081826000000,,2.403596604,3.699353952,4.624153065,3.577146706,1.776193875,4.695394902,3.647675605,11.02080374,10.32892693,4.22642145,3.183395315,10.93221309,,,
1978,YR1978,Bermuda,BMU,475800000,,,,1.452784504,1.074229338,,,,,,,,,,,
1978,YR1978,Canada,CAN,218632867537,,9.966534348,2.406009687,,,0.9953556819,,,0.4244694753,1.874024073,2.983359327,1.963289924,3.143018889,,,
1978,YR1978,United States,USA,2351599000000,,10.55530331,3.828150937,5.535304958,4.422984607,1.778844009,5.47075715,4.359117119,10.68032709,10.65313296,4.376432529,3.276326454,8.666811411,,,
1979,YR1979,Bermuda,BMU,517200000,,,,2.147971361,1.768239125,,,,,,,,,,,
1979,YR1979,Canada,CAN,243072102612,,3.771514779,1.940652522,,,0.8330317915,,,13.77324769,6.297029999,2.288686695,1.281329979,7.166079998,,,
1979,YR1979,United States,USA,2627333000000,,9.902687269,2.044427281,3.166145308,2.033887065,0.765306319,3.463366811,2.327846534,3.853116263,5.698898005,2.376991741,1.253394533,1.662828592,,,
1980,YR1980,Bermuda,BMU,613299968,,,,7.943925233,6.226141897,,,,,,,,,,,
1980,YR1980,Canada,CAN,273853826548,,1.069394886,2.017798819,,,2.663264615,,,-3.344434927,5.417596812,1.707361688,0.4041696686,-3.072565103,,,
1980,YR1980,United States,USA,2857307000000,,10.76730455,0.05544286251,-0.2567496739,-1.209298263,1.498185392,-0.2835156611,-1.235808635,-7.704101012,-4.292458213,-0.3121891358,-1.264208278,-6.656121998,,,
1981,YR1981,Bermuda,BMU,739100032,,,,2.380952381,1.674235544,,,,,,,,,,,
1981,YR1981,Canada,CAN,306214863625,,1.712293745,1.321750458,,,1.782404031,,,8.638636731,9.16877997,1.197266846,-0.04323160264,2.022748877,,,
1981,YR1981,United States,USA,3207041000000,,1.218768424,1.43104861,2.537719307,1.536320281,1.601931243,2.366875633,1.367145092,6.77104484,1.907784195,1.386585873,0.3964289921,2.611499703,,,
1982,YR1982,Bermuda,BMU,785500032,,,,-5.285412261,-5.966959638,,,,,,,,,,,
1982,YR1982,Canada,CAN,313506525087,,-1.37978034,-1.473377431,,,1.183738798,,,-22.14991178,-10.84905621,-2.56481093,-3.71705637,-15.87681092,,,
1982,YR1982,United States,USA,3343789000000,,-7.657025506,1.64468133,-1.802887409,-2.734569731,2.330149768,-1.728393342,-2.660782455,-10.1760395,-4.965581754,1.463816768,0.5011403523,-1.272637305,,,
1983,YR1983,Bermuda,BMU,889400000,,,,2.008928572,1.131648138,,,,,,,,,,,
1983,YR1983,Canada,CAN,340547711782,,5.783690754,2.076716726,,,1.085100407,,,8.728945364,-0.6310901173,2.496408672,1.488235458,10.10533993,,,
1983,YR1983,United States,USA,3634038000000,,-2.591165396,5.104599873,4.583913355,3.631979296,3.024720375,4.512583117,3.561298313,8.670421516,7.25926272,5.661077607,4.699339082,12.61874013,,,
1984,YR1984,Bermuda,BMU,985699968,,,,0.4814004358,-0.3965629907,,,,,,,,,,,
1984,YR1984,Canada,CAN,355372558104,,18.62119301,3.373532161,,,2.257884588,,,11.62500967,2.180294692,3.838371682,2.862713925,17.38278094,,,
1984,YR1984,United States,USA,4037613000000,,8.152881002,4.478533725,7.23663315,6.312167656,1.499131568,7.100598818,6.177306048,23.74250336,15.00920653,5.260771611,4.353339623,24.34324059,,,
1985,YR1985,Bermuda,BMU,1039500032,,,,-2.003484319,-2.821585921,,,,,,,,,,,
1985,YR1985,Canada,CAN,364756499451,,4.48386915,4.632615896,,,3.978470802,,,8.695480471,8.479145871,4.900319216,3.946133276,8.261108766,,,
