year,year_code,country,country_code,gdp_current,agriculture,exports,final_exp,gdp_growth,gdp_per_capita,gov_exp,gni_growth_capita,gni_growth,gross_capital_formation,gross_fixed_capital_formation,Households and NPISHs Final consumption expenditure (annual % growth) [NE.CON.PRVT.KD.ZG],Households and NPISHs Final consumption expenditure per capita growth (annual %) [NE.CON.PRVT.PC.KD.ZG],imports,industry,manufacturing,services
1965,YR1965,Maldives,MDV,,,,,,,,,,,,,,,,,
1965,YR1965,Nepal,NPL,735267082.3,,,,-1.203189018,-3.227261562,,,,,,,,,,,
1965,YR1965,Pakistan,PAK,5929231415,5.246843802,0.5554786419,,10.41936582,7.673805395,-4.234595959,,,21.53638348,21.2511107,,,12.49341952,11.19999254,9.927816373,12.98145539
1965,YR1965,Sri Lanka,LKA,1698319328,-6.474339614,6.037934944,-0.2388954658,2.536953536,0.1297012159,6.020839849,2.009592393,-0.3852791094,-8.885320293,-5.092005583,-1.52646705,-3.838322752,-2.255490718,0.5679634483,1.231721385,9.126313365
1966,YR1966,Afghanistan,AFG,1399999967,,,,,,,,,,,,,,,,
1966,YR1966,Bangladesh,BGD,6439687598,2.5904944,14.33244558,1.841662949,2.566812001,-0.4372517473,1.841662455,,,4.241953086,,1.696345028,-1.282223746,4.059256517,-4.007914719,6.052464094,3.193783989
1966,YR1966,Bhutan,BTN,,,,,,,,,,,,,,,,,
1966,YR1966,India,IND,45865462034,-1.422579223,25.84036221,1.339329511,-0.05532877045,-2.183001818,1.716184214,-0.1982201056,-2.32285121,4.743679748,1.421908368,1.299570301,-0.8569465278,28.62227578,3.568279108,0.7875321238,3.135356556
1966,YR1966,Maldives,MDV,,,,,,,,,,,,,,,,,
1966,YR1966,Nepal,NPL,906811943.8,11.70843981,,,7.040643145,4.826629377,,,,,,,,,,,1.186598444
1966,YR1966,Pakistan,PAK,6561108778,0.4527813664,10.71320315,,5.789951801,3.089915912,27.20489226,,,-24.09619439,-16.07829346,,,-7.103777117,8.021500881,8.594194543,14.44792905
1966,YR1966,Sri Lanka,LKA,1751470588,1.769839341,-5.909313362,8.645582766,5.023789438,2.533634483,0.220361676,5.731289458,3.224359402,16.93998608,9.606533958,10.51139717,7.891128897,4.768537872,8.168346988,8.106786991,3.20192797
1967,YR1967,Afghanistan,AFG,1673333418,,,,,,,,,,,,,,,,
1967,YR1967,Bangladesh,BGD,7253575399,-2.693533641,-11.76621835,-2.947136685,-1.87586392,-4.781817458,-2.94713638,,,12.88469457,,-0.4764414394,-3.423838978,16.83681467,-13.32195305,-0.02864065575,6.014514688
1967,YR1967,Bhutan,BTN,,,,,,,,,,,,,,,,,
1967,YR1967,India,IND,50134942204,14.87087224,4.956135514,5.373947208,7.825963031,5.55485816,2.697832978,7.891508378,5.619022945,-4.154384781,6.462294261,5.657445807,3.432015743,-3.943618053,3.341438169,0.3865767439,3.674120253
1967,YR1967,Maldives,MDV,,,,,,,,,,,,,,,,,
1967,YR1967,Nepal,NPL,841974025.5,-4.115736274,,,-1.5714975,-3.633058942,,,,,,,,,,,1.986921425
1967,YR1967,Pakistan,PAK,7464510710,5.484009455,4.841004934,,5.400612597,2.640894601,-6.496507836,,,11.72832699,-0.6854265708,,,13.80902144,3.559808599,5.660377416,0.7370310883
1967,YR1967,Sri Lanka,LKA,1859465021,8.931656162,6.207862354,0.7492142305,6.43902442,3.910040176,3.602833055,6.304281228,3.778498473,8.359771004,8.161990223,0.1761121397,-2.20406572,-4.368504911,8.930112224,8.509624402,1.163921341
1968,YR1968,Afghanistan,AFG,1373333367,,,,,,,,,,,,,,,,
1968,YR1968,Bangladesh,BGD,7483685474,10.27067214,4.000185206,1.434018863,9.489454015,6.25388242,1.434018624,,,34.92362843,,3.061650854,0.01603013156,-5.497771847,18.40282923,14.71128495,-0.3289849445
1968,YR1968,Bhutan,BTN,,,,,,,,,,,,,,,,,
1968,YR1968,India,IND,53085455871,-0.1582789851,3.138040777,2.871393673,3.387929176,1.169729838,5.246445185,3.411957751,1.193242878,-2.0622413,5.343287267,2.626836461,0.4249664511,-14.36097613,4.726125464,5.538713642,4.417195904
1968,YR1968,Maldives,MDV,,,,,,,,,,,,,,,,,
1968,YR1968,Nepal,NPL,772228643.4,0.5357807498,,,0.675483463,-1.467745771,,,,,,,,,,,0.6445773212
1968,YR1968,Pakistan,PAK,8041999160,11.73059315,6.72488983,,7.233220925,4.376935176,-1.047852128,,,13.03752838,-4.712026051,,,6.605467136,5.100720815,6.37400797,3.086014453
1968,YR1968,Sri Lanka,LKA,1801344538,6.045210841,0.07486946124,9.284512354,5.801094166,3.319880225,0.04898606206,4.503704841,2.052916865,21.8706396,6.995803391,11.20276206,8.594869903,11.00996004,15.67824169,15.46061755,6.115269723
1969,YR1969,Afghanistan,AFG,1408888922,,,,,,,,,,,,,,,,
1969,YR1969,Bangladesh,BGD,8471006101,0.9724071348,4.597773716,4.933762492,1.220857909,-1.65479154,4.933762569,,,-7.883476543,,4.043361363,1.08752557,8.061735867,6.022495614,3.15221478,7.657829225
1969,YR1969,Bhutan,BTN,,,,,,,,,,,,,,,,,
