Time,Time Code,Country Name,Country Code,youth,male_youth,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate) [SL.UEM.1524.ZS]","Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate) [SL.UEM.1524.MA.ZS]",female_youth,total_unemployement,"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate) [SL.UEM.1524.FE.ZS]","Unemployment, total (% of total labor force) (modeled ILO estimate) [SL.UEM.TOTL.ZS]",male,"Unemployment, male (% of male labor force) (modeled ILO estimate) [SL.UEM.TOTL.MA.ZS]",female,"Unemployment, female (% of female labor force) (modeled ILO estimate) [SL.UEM.TOTL.FE.ZS]",male_intermediate_education,female_intermediate_education,Unemployment with intermediate education (% of total labor force with intermediate education) [SL.UEM.INTM.ZS],male_basic_education,female_basic_education,unemployement_basic_education,male_advanced_education,female_advanced_education,unemployement_advanced_education,unemployement_advanced_education
1960,YR1960,Afghanistan,AFG,"","","","","","","","","","","","","","","","","","","","","",
1960,YR1960,Albania,ALB,"","","","","","","","","","","","","","","","","","","","","",
1960,YR1960,Algeria,DZA,"","","","","","","","","","","","","","","","","","","","","",
1960,YR1960,American Samoa,ASM,"","","","","","","","","","","","","","","","","","","","","",
1960,YR1960,Andorra,AND,"","","","","","","","","","","","","","","","","","","","","",
1960,YR1960,Angola,AGO,"","","","","","","","","","","","","","","","","","","","","",
1960,YR1960,Antigua and Barbuda,ATG,"","","","","","","","","","","","","","","","","","","","","",
1960,YR1960,Argentina,ARG,"","","","","","","","","","","","","","","","","","","","","",
1960,YR1960,Armenia,ARM,"","","","","","","","","","","","","","","","","","","","","",
1960,YR1960,Aruba,ABW,"","","","","","","","","","","","","","","","","","","","","",
1960,YR1960,Australia,AUS,"","","","","","","","","","","","","","","","","","","","","",
